Listening to connections on 172.31.13.142:6001
Connected to 3.16.125.199:6000
852ms
752ms
652ms
552ms
502ms
402ms
603ms
453ms
352ms
252ms
202ms
703ms
804ms
153ms
304ms
Req_ID: 328 not received, duration: 18581ms
Req_ID: 340 not received, duration: 17979ms
Req_ID: 428 not received, duration: 13570ms
Req_ID: 93 not received, duration: 30354ms
Req_ID: 65 not received, duration: 31757ms
Req_ID: 146 not received, duration: 27699ms
Req_ID: 169 not received, duration: 26547ms
Req_ID: 103 not received, duration: 29853ms
Req_ID: 369 not received, duration: 16526ms
Req_ID: 509 not received, duration: 9512ms
Req_ID: 571 not received, duration: 6406ms
Req_ID: 189 not received, duration: 25545ms
Req_ID: 376 not received, duration: 16176ms
Req_ID: 58 not received, duration: 32107ms
Req_ID: 357 not received, duration: 17128ms
Req_ID: 414 not received, duration: 14272ms
Req_ID: 348 not received, duration: 17579ms
Req_ID: 46 not received, duration: 32709ms
Req_ID: 332 not received, duration: 18380ms
Req_ID: 185 not received, duration: 25745ms
Req_ID: 399 not received, duration: 15023ms
Req_ID: 367 not received, duration: 16627ms
Req_ID: 153 not received, duration: 27348ms
Req_ID: 98 not received, duration: 30103ms
Req_ID: 210 not received, duration: 24493ms
Req_ID: 441 not received, duration: 12919ms
Req_ID: 319 not received, duration: 19032ms
Req_ID: 500 not received, duration: 9963ms
Req_ID: 341 not received, duration: 17929ms
Req_ID: 258 not received, duration: 22088ms
Req_ID: 382 not received, duration: 15875ms
Req_ID: 295 not received, duration: 20234ms
Req_ID: 298 not received, duration: 20084ms
Req_ID: 486 not received, duration: 10665ms
Req_ID: 532 not received, duration: 8360ms
Req_ID: 497 not received, duration: 10114ms
Req_ID: 508 not received, duration: 9562ms
Req_ID: 291 not received, duration: 20435ms
Req_ID: 409 not received, duration: 14522ms
Req_ID: 563 not received, duration: 6807ms
Req_ID: 596 not received, duration: 5154ms
Req_ID: 63 not received, duration: 31857ms
Req_ID: 567 not received, duration: 6606ms
Req_ID: 50 not received, duration: 32508ms
Req_ID: 228 not received, duration: 23591ms
Req_ID: 460 not received, duration: 11967ms
Req_ID: 227 not received, duration: 23641ms
Req_ID: 206 not received, duration: 24693ms
Req_ID: 151 not received, duration: 27448ms
Req_ID: 137 not received, duration: 28150ms
Req_ID: 164 not received, duration: 26797ms
Req_ID: 421 not received, duration: 13921ms
Req_ID: 505 not received, duration: 9713ms
Req_ID: 287 not received, duration: 20635ms
Req_ID: 384 not received, duration: 15775ms
Req_ID: 246 not received, duration: 22689ms
Req_ID: 130 not received, duration: 28500ms
Req_ID: 106 not received, duration: 29703ms
Req_ID: 277 not received, duration: 21136ms
Req_ID: 495 not received, duration: 10214ms
Req_ID: 26 not received, duration: 33711ms
Req_ID: 97 not received, duration: 30154ms
Req_ID: 208 not received, duration: 24593ms
Req_ID: 213 not received, duration: 24342ms
Req_ID: 511 not received, duration: 9412ms
Req_ID: 514 not received, duration: 9262ms
Req_ID: 347 not received, duration: 17629ms
Req_ID: 207 not received, duration: 24643ms
Req_ID: 192 not received, duration: 25394ms
Req_ID: 344 not received, duration: 17779ms
Req_ID: 115 not received, duration: 29252ms
Req_ID: 480 not received, duration: 10965ms
Req_ID: 263 not received, duration: 21837ms
Req_ID: 107 not received, duration: 29653ms
Req_ID: 43 not received, duration: 32859ms
Req_ID: 577 not received, duration: 6106ms
Req_ID: 140 not received, duration: 27999ms
Req_ID: 389 not received, duration: 15525ms
Req_ID: 238 not received, duration: 23090ms
Req_ID: 564 not received, duration: 6757ms
Req_ID: 155 not received, duration: 27248ms
Req_ID: 327 not received, duration: 18631ms
Req_ID: 79 not received, duration: 31055ms
Req_ID: 174 not received, duration: 26296ms
Req_ID: 412 not received, duration: 14372ms
Req_ID: 539 not received, duration: 8009ms
Req_ID: 315 not received, duration: 19232ms
Req_ID: 326 not received, duration: 18681ms
Req_ID: 387 not received, duration: 15625ms
Req_ID: 431 not received, duration: 13420ms
Req_ID: 585 not received, duration: 5705ms
Req_ID: 128 not received, duration: 28601ms
Req_ID: 186 not received, duration: 25695ms
Req_ID: 459 not received, duration: 12017ms
Req_ID: 465 not received, duration: 11717ms
Req_ID: 581 not received, duration: 5905ms
Req_ID: 117 not received, duration: 29152ms
Req_ID: 35 not received, duration: 33260ms
Req_ID: 86 not received, duration: 30705ms
Req_ID: 491 not received, duration: 10414ms
Req_ID: 513 not received, duration: 9312ms
Req_ID: 100 not received, duration: 30003ms
Req_ID: 232 not received, duration: 23391ms
Req_ID: 281 not received, duration: 20936ms
Req_ID: 221 not received, duration: 23942ms
Req_ID: 488 not received, duration: 10565ms
Req_ID: 132 not received, duration: 28400ms
Req_ID: 528 not received, duration: 8561ms
Req_ID: 536 not received, duration: 8160ms
Req_ID: 565 not received, duration: 6707ms
Req_ID: 61 not received, duration: 31957ms
Req_ID: 45 not received, duration: 32759ms
