Listening to connections on 172.31.21.227:6001
Connected to 3.96.160.85:6000
911ms
560ms
861ms
761ms
811ms
510ms
660ms
711ms
460ms
410ms
310ms
611ms
260ms
160ms
360ms
210ms
Req_ID: 204 not received, duration: 24795ms
Req_ID: 290 not received, duration: 20486ms
Req_ID: 124 not received, duration: 28802ms
Req_ID: 114 not received, duration: 29303ms
Req_ID: 272 not received, duration: 21388ms
Req_ID: 388 not received, duration: 15576ms
Req_ID: 212 not received, duration: 24394ms
Req_ID: 222 not received, duration: 23893ms
Req_ID: 266 not received, duration: 21689ms
Req_ID: 496 not received, duration: 10166ms
Req_ID: 526 not received, duration: 8663ms
Req_ID: 557 not received, duration: 7108ms
Req_ID: 43 not received, duration: 32861ms
Req_ID: 321 not received, duration: 18933ms
Req_ID: 443 not received, duration: 12821ms
Req_ID: 100 not received, duration: 30005ms
Req_ID: 567 not received, duration: 6607ms
Req_ID: 215 not received, duration: 24244ms
Req_ID: 475 not received, duration: 11218ms
Req_ID: 571 not received, duration: 6406ms
Req_ID: 164 not received, duration: 26799ms
Req_ID: 319 not received, duration: 19033ms
Req_ID: 503 not received, duration: 9815ms
Req_ID: 533 not received, duration: 8312ms
Req_ID: 122 not received, duration: 28903ms
Req_ID: 455 not received, duration: 12220ms
Req_ID: 138 not received, duration: 28101ms
Req_ID: 294 not received, duration: 20286ms
Req_ID: 152 not received, duration: 27400ms
Req_ID: 435 not received, duration: 13222ms
Req_ID: 586 not received, duration: 5655ms
Req_ID: 521 not received, duration: 8913ms
Req_ID: 481 not received, duration: 10917ms
Req_ID: 502 not received, duration: 9865ms
Req_ID: 80 not received, duration: 31007ms
Req_ID: 137 not received, duration: 28151ms
Req_ID: 76 not received, duration: 31207ms
Req_ID: 242 not received, duration: 22891ms
Req_ID: 237 not received, duration: 23142ms
Req_ID: 254 not received, duration: 22290ms
Req_ID: 60 not received, duration: 32009ms
Req_ID: 103 not received, duration: 29854ms
Req_ID: 262 not received, duration: 21889ms
Req_ID: 338 not received, duration: 18082ms
Req_ID: 574 not received, duration: 6256ms
Req_ID: 295 not received, duration: 20236ms
Req_ID: 22 not received, duration: 33913ms
Req_ID: 161 not received, duration: 26949ms
Req_ID: 473 not received, duration: 11318ms
Req_ID: 79 not received, duration: 31057ms
Req_ID: 460 not received, duration: 11969ms
Req_ID: 223 not received, duration: 23843ms
Req_ID: 394 not received, duration: 15276ms
Req_ID: 155 not received, duration: 27250ms
Req_ID: 508 not received, duration: 9564ms
Req_ID: 575 not received, duration: 6206ms
Req_ID: 163 not received, duration: 26849ms
Req_ID: 406 not received, duration: 14675ms
Req_ID: 113 not received, duration: 29354ms
Req_ID: 230 not received, duration: 23492ms
Req_ID: 220 not received, duration: 23993ms
Req_ID: 342 not received, duration: 17881ms
Req_ID: 448 not received, duration: 12571ms
Req_ID: 95 not received, duration: 30255ms
Req_ID: 358 not received, duration: 17080ms
Req_ID: 17 not received, duration: 34163ms
Req_ID: 148 not received, duration: 27600ms
Req_ID: 559 not received, duration: 7007ms
Req_ID: 373 not received, duration: 16328ms
Req_ID: 302 not received, duration: 19885ms
Req_ID: 409 not received, duration: 14524ms
Req_ID: 116 not received, duration: 29203ms
Req_ID: 350 not received, duration: 17480ms
Req_ID: 359 not received, duration: 17029ms
Req_ID: 501 not received, duration: 9915ms
Req_ID: 522 not received, duration: 8863ms
Req_ID: 225 not received, duration: 23743ms
Req_ID: 156 not received, duration: 27200ms
Req_ID: 218 not received, duration: 24094ms
Req_ID: 72 not received, duration: 31408ms
Req_ID: 179 not received, duration: 26048ms
Req_ID: 235 not received, duration: 23242ms
Req_ID: 246 not received, duration: 22691ms
Req_ID: 351 not received, duration: 17430ms
Req_ID: 505 not received, duration: 9715ms
Req_ID: 239 not received, duration: 23042ms
Req_ID: 549 not received, duration: 7509ms
Req_ID: 400 not received, duration: 14975ms
Req_ID: 445 not received, duration: 12721ms
Req_ID: 140 not received, duration: 28001ms
Req_ID: 48 not received, duration: 32610ms
Req_ID: 117 not received, duration: 29153ms
Req_ID: 119 not received, duration: 29053ms
Req_ID: 158 not received, duration: 27099ms
Req_ID: 261 not received, duration: 21939ms
Req_ID: 538 not received, duration: 8062ms
Req_ID: 380 not received, duration: 15977ms
Req_ID: 581 not received, duration: 5905ms
Req_ID: 133 not received, duration: 28352ms
Req_ID: 153 not received, duration: 27350ms
Req_ID: 36 not received, duration: 33211ms
Req_ID: 401 not received, duration: 14925ms
Req_ID: 441 not received, duration: 12921ms
Req_ID: 438 not received, duration: 13072ms
Req_ID: 110 not received, duration: 29504ms
Req_ID: 65 not received, duration: 31759ms
Req_ID: 300 not received, duration: 19986ms
Req_ID: 259 not received, duration: 22040ms
Req_ID: 66 not received, duration: 31708ms
Req_ID: 154 not received, duration: 27300ms
Req_ID: 585 not received, duration: 5705ms
Req_ID: 543 not received, duration: 7811ms
Req_ID: 463 not received, duration: 11819ms
Req_ID: 414 not received, duration: 14274ms
Req_ID: 107 not received, duration: 29654ms
Req_ID: 194 not received, duration: 25296ms
Req_ID: 570 not received, duration: 6456ms
Req_ID: 579 not received, duration: 6005ms
Req_ID: 577 not received, duration: 6106ms
Req_ID: 70 not received, duration: 31508ms
Req_ID: 101 not received, duration: 29955ms
Req_ID: 315 not received, duration: 19234ms
Req_ID: 303 not received, duration: 19835ms
Req_ID: 145 not received, duration: 27751ms
Req_ID: 331 not received, duration: 18432ms
Req_ID: 52 not received, duration: 32410ms
Req_ID: 299 not received, duration: 20036ms
Req_ID: 340 not received, duration: 17982ms
Req_ID: 450 not received, duration: 12470ms
Req_ID: 489 not received, duration: 10517ms
Req_ID: 490 not received, duration: 10466ms
Req_ID: 523 not received, duration: 8813ms
Req_ID: 424 not received, duration: 13773ms
Req_ID: 584 not received, duration: 5755ms
Req_ID: 360 not received, duration: 16979ms
Req_ID: 91 not received, duration: 30456ms
Req_ID: 172 not received, duration: 26398ms
Req_ID: 355 not received, duration: 17230ms
Req_ID: 55 not received, duration: 32260ms
Req_ID: 249 not received, duration: 22541ms
Req_ID: 444 not received, duration: 12771ms
Req_ID: 545 not received, duration: 7711ms
Req_ID: 238 not received, duration: 23092ms
Req_ID: 378 not received, duration: 16078ms
Req_ID: 419 not received, duration: 14023ms
Req_ID: 323 not received, duration: 18833ms
Req_ID: 241 not received, duration: 22941ms
Req_ID: 30 not received, duration: 33512ms
Req_ID: 583 not received, duration: 5805ms
Req_ID: 314 not received, duration: 19284ms
Req_ID: 132 not received, duration: 28402ms
Req_ID: 159 not received, duration: 27049ms
Req_ID: 170 not received, duration: 26498ms
Req_ID: 201 not received, duration: 24945ms
Req_ID: 128 not received, duration: 28602ms
Req_ID: 485 not received, duration: 10717ms
Req_ID: 576 not received, duration: 6156ms
Req_ID: 57 not received, duration: 32159ms
Req_ID: 195 not received, duration: 25246ms
Req_ID: 18 not received, duration: 34113ms
Req_ID: 422 not received, duration: 13873ms
Req_ID: 99 not received, duration: 30055ms
Req_ID: 245 not received, duration: 22741ms
Req_ID: 318 not received, duration: 19084ms
Req_ID: 413 not received, duration: 14324ms
Req_ID: 479 not received, duration: 11018ms
Req_ID: 408 not received, duration: 14575ms
Req_ID: 439 not received, duration: 13022ms
Req_ID: 71 not received, duration: 31458ms
Req_ID: 94 not received, duration: 30306ms
Req_ID: 328 not received, duration: 18583ms
Req_ID: 364 not received, duration: 16779ms
Req_ID: 517 not received, duration: 9114ms
Req_ID: 265 not received, duration: 21739ms
Req_ID: 73 not received, duration: 31358ms
Req_ID: 478 not received, duration: 11068ms
Req_ID: 540 not received, duration: 7961ms
