Listening to connections on 172.31.3.162:6001
Connected to 54.183.230.57:6000
861ms
1112ms
561ms
1162ms
711ms
762ms
511ms
1363ms
1213ms
1564ms
662ms
1264ms
1514ms
362ms
261ms
1063ms
813ms
212ms
613ms
1465ms
462ms
914ms
1315ms
1415ms
413ms
964ms
1014ms
Req_ID: 371 not received, duration: 16429ms
Req_ID: 364 not received, duration: 16780ms
Req_ID: 590 not received, duration: 5454ms
Req_ID: 145 not received, duration: 27755ms
Req_ID: 513 not received, duration: 9312ms
Req_ID: 258 not received, duration: 22093ms
Req_ID: 505 not received, duration: 9713ms
Req_ID: 38 not received, duration: 33115ms
Req_ID: 433 not received, duration: 13323ms
Req_ID: 493 not received, duration: 10314ms
Req_ID: 440 not received, duration: 12972ms
Req_ID: 585 not received, duration: 5705ms
Req_ID: 566 not received, duration: 6656ms
Req_ID: 144 not received, duration: 27805ms
Req_ID: 510 not received, duration: 9462ms
Req_ID: 296 not received, duration: 20187ms
Req_ID: 331 not received, duration: 18433ms
Req_ID: 79 not received, duration: 31061ms
Req_ID: 357 not received, duration: 17131ms
Req_ID: 372 not received, duration: 16379ms
Req_ID: 65 not received, duration: 31763ms
Req_ID: 46 not received, duration: 32715ms
Req_ID: 276 not received, duration: 21192ms
Req_ID: 209 not received, duration: 24548ms
Req_ID: 444 not received, duration: 12771ms
Req_ID: 475 not received, duration: 11218ms
Req_ID: 187 not received, duration: 25651ms
Req_ID: 232 not received, duration: 23396ms
Req_ID: 529 not received, duration: 8510ms
Req_ID: 442 not received, duration: 12872ms
Req_ID: 70 not received, duration: 31512ms
Req_ID: 113 not received, duration: 29358ms
Req_ID: 430 not received, duration: 13473ms
Req_ID: 504 not received, duration: 9763ms
Req_ID: 185 not received, duration: 25751ms
Req_ID: 366 not received, duration: 16680ms
Req_ID: 377 not received, duration: 16129ms
Req_ID: 405 not received, duration: 14725ms
Req_ID: 454 not received, duration: 12270ms
Req_ID: 231 not received, duration: 23446ms
Req_ID: 256 not received, duration: 22194ms
Req_ID: 76 not received, duration: 31211ms
Req_ID: 293 not received, duration: 20337ms
Req_ID: 295 not received, duration: 20237ms
Req_ID: 399 not received, duration: 15026ms
Req_ID: 497 not received, duration: 10114ms
Req_ID: 518 not received, duration: 9062ms
Req_ID: 552 not received, duration: 7358ms
Req_ID: 176 not received, duration: 26202ms
Req_ID: 395 not received, duration: 15227ms
Req_ID: 248 not received, duration: 22595ms
Req_ID: 253 not received, duration: 22344ms
Req_ID: 202 not received, duration: 24899ms
Req_ID: 474 not received, duration: 11268ms
Req_ID: 212 not received, duration: 24398ms
Req_ID: 557 not received, duration: 7108ms
Req_ID: 415 not received, duration: 14224ms
Req_ID: 515 not received, duration: 9212ms
Req_ID: 578 not received, duration: 6055ms
Req_ID: 390 not received, duration: 15477ms
Req_ID: 507 not received, duration: 9613ms
Req_ID: 259 not received, duration: 22043ms
Req_ID: 285 not received, duration: 20738ms
Req_ID: 586 not received, duration: 5655ms
Req_ID: 134 not received, duration: 28306ms
Req_ID: 251 not received, duration: 22444ms
Req_ID: 508 not received, duration: 9563ms
Req_ID: 536 not received, duration: 8160ms
Req_ID: 51 not received, duration: 32464ms
Req_ID: 86 not received, duration: 30710ms
Req_ID: 71 not received, duration: 31462ms
Req_ID: 268 not received, duration: 21593ms
Req_ID: 432 not received, duration: 13373ms
Req_ID: 179 not received, duration: 26051ms
Req_ID: 348 not received, duration: 17582ms
Req_ID: 548 not received, duration: 7558ms
Req_ID: 217 not received, duration: 24148ms
Req_ID: 467 not received, duration: 11619ms
Req_ID: 457 not received, duration: 12120ms
